ABN,Name,Main activity,Charity size,Full time staff,Part time staff,Volunteers
11607902687,Children's Hospital Foundation Queensland,Grant-making activities,Large,22,10,482
11611341942,Mountain Heights School P&F Association,Primary and secondary education,Small,0,0,8
11612680186,Dubbo Public School P&C Assoc,Other activity,Small,0,2,40
11622576453,Cornella Local Area Plan Implementation Committee,,Small,0,0,7
11628846717,Ulladulla Residential Services Incorporated,Housing activities,Medium,3,11,4
11629077637,Holy Apostolic Catholic Assyrian Church Of The East,Religious activities,Large,15,5,40
11629434572,Coominglah Rural Fire Brigade,Other activity,Small,0,0,35453
11630788730,Exmouth Volunteer Marine Rescue Group Incorporated,Emergency and relief,Medium,0,0,49
11635378627,Gunnedah Congregation of Jehovah's Witnesses,Religious activities,Small,0,0,21
11635644874,Our Lady Help Of Christians Primary School East Warrnambool Victoria,Primary and secondary education,Large,22,17,30
11635886201,Uniting Church Robe Campsite,,Small,0,3,5
11637257859,Glen Innes & District Information Centre Inc,Emergency and relief,Small,0,1,12
11638541613,The Trustee For Liverpool Catholic Club Charitable Trust,,Small,0,0,9
11642117660,Bluebell Rural Fire Brigade,Other activity,Small,0,0,35453
11643616608,Wallum Action Group Inc,Environmental activities,Small,0,0,20
11648685928,One Hundred & Seventy Nine Napier St Hostel Assoc Inc,Other activity,Large,4,69,0
11650414765,Act Community Language Schools Association Inc,Other education,Small,0,2,10
11653875280,Sisters Of St Paul De Chartres Australia,Aged care activities,Large,7,89,25
11653899510,Impact Support Services Inc,Other activity,Small,7,40,12
11656820235,4 D Ministries Incorporated,Religious activities,Small,0,0,2
11662695807,Lachlan Legacy Club Incorporated,,Small,0,1,59
11664573841,Warrnambool Church Of Christ,Religious activities,Medium,1,2,80
11665093300,Coles Danziger Foundation,Culture and arts,Medium,0,0,0
